entity_type,name,description,definition,term_source,source_ref,source_url,ownership_users,ownership_groups,parent_nodes,related_contains,related_inherits,domain_urn,domain_name,custom_properties
glossaryTerm,Imaging Reports,Results and interpretations from medical imaging studies,Results and interpretations from medical imaging studies,INTERNAL,DataHub,https://github.com/healthcare-data-project/healthcare,admin:DEVELOPER,,Clinical Observations,,,,,"{""data_type"":""Report"",""domain"":""Clinical Observations""}"
glossaryTerm,Clinic,Outpatient facility providing specialized medical services,Outpatient facility providing specialized medical services,INTERNAL,DataHub,https://github.com/healthcare-data-project/healthcare,admin:DEVELOPER,,Healthcare Organizations,,,,,"{""data_type"":""Facility"",""domain"":""Healthcare Organizations""}"
glossaryTerm,Patient Profile,"Comprehensive patient information including demographics, insurance, and care preferences","Comprehensive patient information including demographics, insurance, and care preferences",INTERNAL,DataHub,https://github.com/healthcare-data-project/healthcare,admin:DEVELOPER,,Patient Data,,,,,"{""data_type"":""Dataset"",""domain"":""Patient Data""}"
glossaryTerm,Customer ID,Unique identifier for each customer,Unique identifier for each customer,INTERNAL,,,datahub:Technical Owner,bfoo:Technical Owner,Business Terms,,Business Terms.Customer Name,,,
glossaryTerm,Demographics,"Statistical characteristics of patient populations including age, gender, race, and ethnicity","Statistical characteristics of patient populations including age, gender, race, and ethnicity",INTERNAL,DataHub,https://github.com/healthcare-data-project/healthcare,admin:DEVELOPER,,Patient Data,,,,,"{""data_type"":""Dataset"",""domain"":""Patient Data""}"
glossaryTerm,Data Lineage,Tracking of data flow and transformations across systems,Tracking of data flow and transformations across systems,INTERNAL,DataHub,https://github.com/healthcare-data-project/healthcare,admin:DEVELOPER,,Data Governance,,,,,"{""data_type"":""Process"",""domain"":""Data Governance""}"
glossaryTerm,Facility Directory,Listing of healthcare facilities and their capabilities,Listing of healthcare facilities and their capabilities,INTERNAL,DataHub,https://github.com/healthcare-data-project/healthcare,admin:DEVELOPER,,Provider and Facility,,,,,"{""data_type"":""Directory"",""domain"":""Provider and Facility""}"
glossaryTerm,Patient History,"Longitudinal record of patient encounters, treatments, and outcomes","Longitudinal record of patient encounters, treatments, and outcomes",INTERNAL,DataHub,https://github.com/healthcare-data-project/healthcare,admin:DEVELOPER,,Patient Data,,,,,"{""data_type"":""Dataset"",""domain"":""Patient Data""}"
glossaryTerm,HIPAA Compliance,Adherence to Health Insurance Portability and Accountability Act requirements,Adherence to Health Insurance Portability and Accountability Act requirements,INTERNAL,DataHub,https://github.com/healthcare-data-project/healthcare,admin:DEVELOPER,,Data Governance,,,,,"{""data_type"":""Compliance"",""domain"":""Data Governance""}"
glossaryTerm,Vital Signs,Basic physiological measurements indicating patient health status,Basic physiological measurements indicating patient health status,INTERNAL,DataHub,https://github.com/healthcare-data-project/healthcare,admin:DEVELOPER,,Clinical Observations,,,,,"{""data_type"":""Measurement"",""domain"":""Clinical Observations""}"
glossaryTerm,Provider Directory,Comprehensive listing of healthcare providers and their credentials,Comprehensive listing of healthcare providers and their credentials,INTERNAL,DataHub,https://github.com/healthcare-data-project/healthcare,admin:DEVELOPER,,Provider and Facility,,,,,"{""data_type"":""Directory"",""domain"":""Provider and Facility""}"
glossaryTerm,Laboratory Results,Results from clinical laboratory tests and analyses,Results from clinical laboratory tests and analyses,INTERNAL,DataHub,https://github.com/healthcare-data-project/healthcare,admin:DEVELOPER,,Clinical Observations,,,,,"{""data_type"":""Test Result"",""domain"":""Clinical Observations""}"
glossaryTerm,Patient Registry,Master database containing core patient identification and demographic information,Master database containing core patient identification and demographic information,INTERNAL,DataHub,https://github.com/healthcare-data-project/healthcare,admin:DEVELOPER,,Patient Data,,,,,"{""data_type"":""Dataset"",""domain"":""Patient Data""}"
glossaryTerm,Customer Data,Information related to customer records and profiles,Information related to customer records and profiles,INTERNAL,,,datahub:Technical Owner,bfoo:test,Business Terms,,Business Terms.Customer Name,,,
glossaryTerm,Data Quality,"Accuracy, completeness, and reliability of healthcare data","Accuracy, completeness, and reliability of healthcare data",INTERNAL,DataHub,https://github.com/healthcare-data-project/healthcare,admin:DEVELOPER,,Data Governance,,,,,"{""data_type"":""Principle"",""domain"":""Data Governance""}"
glossaryTerm,Clinical Observation,"Measurement, assessment, or finding related to patient health status","Measurement, assessment, or finding related to patient health status",INTERNAL,DataHub,https://github.com/healthcare-data-project/healthcare,admin:DEVELOPER,,Clinical Observations,,,,,"{""data_type"":""Measurement"",""domain"":""Clinical Observations""}"
glossaryTerm,Location,Geographic and physical location information for healthcare services,Geographic and physical location information for healthcare services,INTERNAL,DataHub,https://github.com/healthcare-data-project/healthcare,admin:DEVELOPER,,Provider and Facility,,,,,"{""data_type"":""Location"",""domain"":""Provider and Facility""}"
glossaryTerm,Hospital,Acute care facility providing comprehensive medical services,Acute care facility providing comprehensive medical services,INTERNAL,DataHub,https://github.com/healthcare-data-project/healthcare,admin:DEVELOPER,,Healthcare Organizations,,,,,"{""data_type"":""Facility"",""domain"":""Healthcare Organizations""}"
glossaryTerm,Patient,"An individual receiving healthcare services, identified by unique patient identifier","An individual receiving healthcare services, identified by unique patient identifier",INTERNAL,DataHub,https://github.com/healthcare-data-project/healthcare,admin:DEVELOPER,,Patient Data,,,,,"{""data_type"":""Entity"",""domain"":""Patient Data""}"
glossaryTerm,Provider,Healthcare professional authorized to provide medical services,Healthcare professional authorized to provide medical services,INTERNAL,DataHub,https://github.com/healthcare-data-project/healthcare,admin:DEVELOPER,,Healthcare Organizations,,,,,"{""data_type"":""Professional"",""domain"":""Healthcare Organizations""}"
glossaryTerm,Customer Name,Full name of the customer,Full name of the customer,INTERNAL,,,datahub:Technical Owner,,Business Terms,,,,,
glossaryTerm,Data Security,Protection of healthcare data from unauthorized access and breaches,Protection of healthcare data from unauthorized access and breaches,INTERNAL,DataHub,https://github.com/healthcare-data-project/healthcare,admin:DEVELOPER,,Data Governance,,,,,"{""data_type"":""Principle"",""domain"":""Data Governance""}"
glossaryNode,Business Terms,,,,,,datahub:Technical Owner,,,,,,
glossaryNode,Clinical Observations,"Clinical measurements, assessments, and findings related to patient health status",,,,,admin:DEVELOPER,,,,,,
glossaryNode,Data Governance,"Data quality, security, and governance principles",,,,,admin:DEVELOPER,,,,,,
glossaryNode,Healthcare Organizations,"Healthcare facilities, providers, and organizational structures",,,,,admin:DEVELOPER,,,,,,
glossaryNode,Patient Data,Core patient identification and demographic information,,,,,admin:DEVELOPER,,,,,,
glossaryNode,Provider and Facility,"Healthcare providers, facilities, and location information",,,,,admin:DEVELOPER,,,,,,
